Reliance	1391.45	16.90	1.23	33612.0
TCS	2238.3	46.60	2.13	30065.0
IOC	152.9	-0.10	-0.07	21346.12
ONGC	168.15	-0.25	-0.15	19945.26
HDFC Bank	2275.25	10.40	0.46	17486.73
Infosys	737.1	8.35	1.15	14702.0
HDFC	1974.55	16.00	0.82	12163.69
ITC	304.65	0.15	0.05	11223.25
NTPC	134.1	0.80	0.60	10343.17
Coal India	250.15	-1.30	-0.52	9293.42
Hind Zinc	270.35	-3.05	-1.12	9276.0
Power Grid Corp	190.8	-0.50	-0.26	8238.96
BPCL	370.95	12.60	3.52	7919.34
Wipro	294.35	-0.90	-0.30	7614.0
Maruti Suzuki	6832.15	-70.80	-1.03	7500.6
HCL Tech	1137.8	6.65	0.59	7362.0
Vedanta	169.65	-1.20	-0.70	7256.0
ICICI Bank	407.4	12.05	3.05	6777.42
HPCL	282.6	7.10	2.58	6357.07
Power Finance	115.15	-2.90	-2.46	5855.22
Larsen	1355.5	0.15	0.01	5387.3
HUL	1743.75	11.60	0.67	5237.0
REC	146.1	-3.65	-2.44	4647.0
JSW Steel	293.85	6.90	2.40	4625.0
GAIL	353.05	8.70	2.53	4618.41
M&M	657.7	-6.25	-0.94	4356.01
Yes Bank	237.4	-0.30	-0.13	4224.56
Tata Steel	545.0	34.10	6.67	4169.55
Kotak Mahindra	1378.05	13.05	0.96	4084.3
Bajaj Auto	3047.75	-30.30	-0.98	4068.1
Tech Mahindra	823.0	8.30	1.02	3999.3
Corporation Bk	27.9	0.40	1.45	3950.42
NMDC	99.8	-0.70	-0.70	3805.88
Indiabulls Hsg	737.75	4.95	0.68	3729.26
Hero Motocorp	2604.15	-13.30	-0.51	3697.36
IndusInd Bank	1696.05	12.85	0.76	3605.99
General Insuran	243.85	-2.20	-0.89	3233.58
Bharti Infratel	272.15	1.20	0.44	2779.0
NHPC	23.5	0.40	1.73	2758.65
Oil India	179.7	1.65	0.93	2667.93
Bajaj Finance	3091.4	10.85	0.35	2646.7
Unichem Labs	192.25	0.20	0.10	2556.6
UltraTechCement	4613.45	-6.50	-0.14	2455.72
Bandhan Bank	598.95	8.40	1.42	2430.11
Adani Ports	391.05	0.10	0.03	2408.1
Interglobe Avi	1482.1	-0.05	0.00	2242.37
New India Assur	182.0	-0.55	-0.30	2200.92
Petronet LNG	239.4	3.25	1.38	2077.85
Hindustan Aeron	679.6	3.40	0.50	2070.41
LIC Housing Fin	501.65	8.15	1.65	1989.59
Zee Entertain	418.0	1.10	0.26	1911.9
StanChart PLC	54.2	2.50	4.84	1911.17
Asian Paints	1448.05	-0.20	-0.01	1894.8
NLC India	66.9	1.20	1.83	1848.78
Aurobindo Pharm	830.1	34.50	4.34	1812.77
Grasim	912.2	-10.60	-1.15	1768.66
Tata Chemicals	578.95	5.20	0.91	1766.96
Muthoot Finance	591.75	10.90	1.88	1720.27
Eicher Motors	20324.0	-11.40	-0.06	1712.91
Reliance Infra	120.0	-1.95	-1.60	1664.37
Nestle	10970.05	89.90	0.83	1606.93
Shriram Trans	1136.8	-17.90	-1.55	1568.02
Ashok Leyland	88.5	-1.40	-1.56	1562.59
M&M Financial	413.35	-2.80	-0.67	1557.06
ACC	1634.45	14.85	0.92	1506.63
Ambuja Cements	225.9	5.80	2.64	1487.01
Cipla	568.45	13.20	2.38	1468.52
Hindalco	200.95	4.10	2.08	1436.49
Bharat Elec	88.1	0.85	0.97	1399.29
Shree Cements	19999.95	106.20	0.53	1384.18
Bosch	17998.8	-43.70	-0.24	1370.8
Lupin	868.3	0.50	0.06	1344.66
NALCO	52.7	-0.05	-0.09	1342.41
SBI Life Insura	636.65	21.70	3.53	1326.8
Bajaj Holdings	3269.55	-14.05	-0.43	1313.55
HDFC Life	399.35	-0.15	-0.04	1276.79
Indian Bank	253.95	1.15	0.45	1258.99
SJVN	24.2	0.55	2.33	1224.88
Dewan Housing	143.0	-1.65	-1.14	1172.13
Titan Company	1138.15	-2.90	-0.25	1162.87
L&T Infotech	1709.85	-1.35	-0.08	1160.1
ICICI Prudentia	368.25	0.65	0.18	1140.65
Sun TV Network	575.5	-2.00	-0.35	1093.04
MRF	54395.1	-1,138.45	-2.05	1092.28
Cadila Health	327.9	3.85	1.19	1090.8
HEG	1706.75	-75.15	-4.22	1081.34
Dabur India	398.1	2.65	0.67	1072.05
ICICI Lombard	1087.95	12.15	1.13	1049.27
Container Corp	493.6	0.55	0.11	1049.04
Glenmark	645.4	5.90	0.92	1014.35
Oracle Fin Serv	3548.3	24.95	0.71	1005.99
Godrej Consumer	653.7	3.05	0.47	999.87
Cholamandalam	1409.7	-13.20	-0.93	974.12
Pidilite Ind	1221.1	10.15	0.84	955.19
Britannia	2967.4	-5.55	-0.19	947.89
HDFC AMC	1610.8	4.95	0.31	930.6
Torrent Power	254.4	1.55	0.61	921.74
Graphite India	407.45	-1.30	-0.32	913.63
Chennai Petro	257.1	1.00	0.39	912.93
Siemens	1180.05	-7.40	-0.62	893.9
