HEG	790.82	"2,082.00"
Polson	692.51	"10,719.00"
Eicher Motors	672.25	"21,328.00"
Bosch	549.31	"18,225.00"
Merck	505.25	"3,895.00"
Honeywell Autom	376.73	"23,800.00"
Page Industries	370.44	"24,000.00"
3M India	317.70	"25,000.00"
National Perox	300.98	"3,025.00"
Shree Cements	295.47	"19,600.00"
Tide Water Oil	277.32	"5,068.00"
Bharat Rasayan	276.88	"4,548.40"
Maruti Suzuki	251.16	"7,462.00"
Kaycee Ind	249.64	"3,279.85"
GlaxoSmith Con	216.10	"7,228.00"
Abbott India	205.75	"8,018.40"
Lakshmi Machine	200.06	"6,012.00"
Stovec Ind	189.48	"2,510.00"
Sandur Manganes	185.31	"961.15"
Hero Motocorp	181.35	"2,735.05"
Nestle	166.67	"11,165.10"
Sanofi India	165.26	"5,840.00"
Eldeco Housing	162.19	"1,531.05"
WABCO India	162.00	"6,310.00"
Paul Merchants	161.77	"1,980.00"
TTK Prestige	158.90	"8,486.40"
Bajaj Auto	153.77	"3,060.00"
TVS Srichakra	151.25	"2,200.05"
Disa India	150.25	"6,000.00"
Shervani Indust	147.75	"748.00"
Dalal Street	147.28	"344.20"
Graphite India	144.99	"469.20"
Sharda Motor	143.87	"1,484.05"
VST	143.86	"3,486.00"
Bharat Bijlee	142.90	"1,076.50"
HIL	141.97	"1,846.80"
Atul	141.60	"3,541.00"
Venkys	138.71	"2,236.00"
Seshasayee Pape	136.12	"955.00"
Oracle Fin Serv	135.58	"3,566.00"
Vindhya Telelin	129.47	"1,354.25"
Force Motors	127.93	"1,794.15"
Excel	124.17	"1,135.90"
P and G	122.00	"10,699.55"
Lumax Inds	121.92	"1,789.85"
Paushak Ltd	120.21	"2,225.00"
Vardhman Text	120.08	"1,129.45"
Shriram City	118.89	"1,769.15"
Tasty Bite	116.11	"8,570.00"
Ambika Cotton	115.06	"1,130.00"
KSE	110.17	"1,435.50"
ICRA	106.82	"3,110.00"
Monsanto India	105.55	"2,540.00"
Schaeffler Ind	103.99	"5,480.00"
Hawkins Cooker	101.29	"3,067.50"
Guj Alkali	100.89	"497.95"
Vardhman Hold	98.07	"2,100.00"
WPIL	98.03	"839.00"
Bombay Cycle	96.50	"1,852.00"
Tata Sponge	95.24	"782.85"
Maithan Alloys	94.17	"536.00"
Pfizer	92.70	"3,226.35"
GL	92.55	"970.00"
Hinduja Global	91.67	"660.60"
Kuantum Papers	89.25	"450.00"
Indiabulls Hsg	89.05	"835.80"
Bayer CropScien	88.69	"4,188.00"
Alphageo	88.31	"481.00"
Bajaj Holdings	86.81	"3,310.00"
Shriram Trans	86.50	"1,234.45"
Electrotherm	86.50	"254.85"
Strides Pharma	86.22	"495.40"
Sportking India	85.63	"485.00"
Guj Flourochem	84.59	"1,062.60"
Akzo Nobel	83.11	"1,765.60"
Elantas Beck	82.98	"2,350.00"
Sundaram-Clayto	82.87	"2,899.95"
L&T Infotech	82.75	"1,631.10"
Cera Sanitary	82.75	"2,815.00"
Transpek	81.60	"1,570.05"
Empire Ind	80.92	"866.85"
ACC	80.23	"1,702.25"
TCS	80.12	"2,136.00"
Satia Ind	79.82	"689.00"
SRF	79.63	"2,490.70"
Automotive Axle	79.33	"1,201.00"
JSW Holdings	79.15	"2,950.00"
Nilkamal	78.35	"1,432.65"
VST Tillers	77.99	"1,300.00"
Veljan Denison	76.84	"849.00"
Sandesh	76.74	"747.10"
Bajaj Steel	76.65	"284.00"
JL Morison	76.34	"1,395.00"
Cholamandalam	75.81	"1,489.00"
Tata Steel	75.35	"553.85"
Dr Reddys Labs	75.34	"2,827.60"
Excel Crop Care	74.71	"3,605.00"
HDFC Bank	73.41	"2,305.75"
Ceat	73.27	"1,125.00"
