Company,eps
HEG,790.82
Polson,692.51
Eicher Motors,672.25
Bosch,549.31
Merck,505.25
Honeywell Autom,376.73
Page Industries,370.44
3M India,317.70
National Perox,300.98
Shree Cements,295.47
Tide Water Oil,277.32
Bharat Rasayan,276.88
Maruti Suzuki,251.16
Kaycee Ind,249.64
Victoria Mills,231.72
GlaxoSmith Con,216.10
Abbott India,205.75
Lakshmi Machine,200.06
Stovec Ind,189.48
Sandur Manganes,185.31
Hero Motocorp,181.35
Nestle,166.67
Sanofi India,165.26
Eldeco Housing,162.19
WABCO India,162.00
Paul Merchants,161.77
TTK Prestige,158.90
Bajaj Auto,153.77
TVS Srichakra,151.25
Disa India,150.25
Shervani Indust,147.75
Dalal Street,147.28
Graphite India,144.99
Sharda Motor,143.87
VST,143.86
Bharat Bijlee,142.90
HIL,141.97
Atul,141.60
Venkys,138.71
Seshasayee Pape,136.12
Oracle Fin Serv,135.58
Vindhya Telelin,129.47
Force Motors,127.93
Excel,124.17
Indian LinkChai,122.08
P and G,122.00
Lumax Inds,121.92
Paushak Ltd,120.21
Vardhman Text,120.08
Shriram City,118.89
Tasty Bite,116.11
Ambika Cotton,115.06
KSE,110.17
Monsanto India,105.55
Schaeffler Ind,103.99
Hawkins Cooker,101.29
Guj Alkali,100.89
Vardhman Hold,98.07
WPIL,98.03
Tata Sponge,95.24
Maithan Alloys,94.17
Wendt,93.85
Pfizer,92.70
GL,92.55
Hinduja Global,91.67
Kuantum Papers,89.25
Indiabulls Hsg,89.05
Bayer CropScien,88.69
Alphageo,88.31
Bajaj Holdings,86.81
Electrotherm,86.50
Shriram Trans,86.50
Strides Pharma,86.22
Sportking India,85.63
Savita Oil Tech,84.60
Guj Flourochem,84.59
Akzo Nobel,83.11
Elantas Beck,82.98
Sundaram-Clayto,82.87
Cera Sanitary,82.75
L&T Infotech,82.75
Transpek,81.60
Empire Ind,80.92
ACC,80.23
Satia Ind,79.82
SRF,79.63
Automotive Axle,79.33
JSW Holdings,79.15
Nilkamal,78.35
VST Tillers,77.99
TCS,77.28
Sandesh,76.74
Bajaj Steel,76.65
JL Morison,76.34
Cholamandalam,75.81
Tata Steel,75.35
Dr Reddys Labs,75.34
Excel Crop Care,74.71
HDFC Bank,73.41
